n_attacker,attacker_vmax,n_setter,setter_vmax,n_libero,libero_vmax,n_defender,defender_vmax,attacker_approach_cms,libero_lateral_cms,setter_displacement_cm,n_unknown,clip,target_label
2,578.5,1,246.5,0,,2,65.7,346.2,,70.7,1,Coordinated_Defense__videoplayback (4)_clip_135.csv,Coordinated Defense
4,354.9,0,,1,314.9,1,37.8,96.4,291.4,,0,Coordinated_Defense__videoplayback (4)_clip_137.csv,Coordinated Defense
1,480.2,0,,1,500.8,2,375.5,248.7,496.0,,2,Coordinated_Defense__videoplayback (4)_clip_140.csv,Coordinated Defense
2,327.6,1,169.2,0,,1,31.2,198.7,,29.4,2,Coordinated_Defense__videoplayback (4)_clip_142.csv,Coordinated Defense
1,307.7,0,,1,355.5,1,45.7,252.2,197.4,,3,Coordinated_Defense__videoplayback (4)_clip_143.csv,Coordinated Defense
1,387.3,0,,0,,2,125.2,205.1,,,3,Coordinated_Defense__videoplayback (4)_clip_145.csv,Coordinated Defense
0,,1,439.5,0,,2,581.2,,,104.4,3,Coordinated_Defense__videoplayback (4)_clip_149.csv,Coordinated Defense
1,187.6,0,,0,,1,20.2,139.6,,,4,Coordinated_Defense__videoplayback (4)_clip_150.csv,Coordinated Defense
2,545.7,0,,0,,1,38.6,403.6,,,3,Coordinated_Defense__videoplayback (4)_clip_151.csv,Coordinated Defense
2,624.8,0,,0,,0,,155.4,,,4,Delayed_Support__videoplayback (1)_clip_004.csv,Delayed Support
1,228.4,0,,0,,0,,109.5,,,5,Delayed_Support__videoplayback (1)_clip_007.csv,Delayed Support
1,235.1,0,,0,,0,,200.6,,,5,Delayed_Support__videoplayback (1)_clip_011.csv,Delayed Support
3,616.6,0,,0,,0,,247.2,,,3,Delayed_Support__videoplayback (1)_clip_020.csv,Delayed Support
3,280.5,0,,0,,0,,92.2,,,3,Delayed_Support__videoplayback (1)_clip_045.csv,Delayed Support
3,700.3,0,,0,,0,,89.2,,,3,Delayed_Support__videoplayback (1)_clip_076.csv,Delayed Support
3,537.1,0,,0,,0,,111.9,,,3,Delayed_Support__videoplayback (1)_clip_093.csv,Delayed Support
1,552.2,1,274.5,0,,3,249.9,333.5,,87.1,1,Delayed_Support__videoplayback (3)_clip_005.csv,Delayed Support
3,720.1,1,32.2,0,,0,,149.4,,13.1,2,Delayed_Support__videoplayback (3)_clip_029.csv,Delayed Support
3,488.1,1,38.9,0,,0,,186.8,,18.3,2,Delayed_Support__videoplayback (3)_clip_043.csv,Delayed Support
2,754.7,0,,0,,2,416.2,321.6,,,2,Delayed_Support__videoplayback (3)_clip_054.csv,Delayed Support
3,620.5,1,30.8,0,,0,,192.1,,15.3,2,Delayed_Support__videoplayback (3)_clip_065.csv,Delayed Support
4,406.4,1,191.1,0,,0,,170.7,,42.3,1,Delayed_Support__videoplayback (3)_clip_074.csv,Delayed Support
2,547.6,0,,0,,1,14.8,233.4,,,3,Delayed_Support__videoplayback (4)_clip_109.csv,Delayed Support
4,682.8,0,,0,,1,99.0,159.3,,,1,Delayed_Support__videoplayback (4)_clip_114.csv,Delayed Support
1,581.5,1,261.7,0,,1,28.6,224.1,,96.7,3,Delayed_Support__videoplayback (4)_clip_139.csv,Delayed Support
2,425.2,0,,0,,1,229.6,221.5,,,3,Spacing_Breakdown__videoplayback (1)_clip_001.csv,Spacing Breakdown
2,359.2,0,,0,,0,,166.5,,,4,Spacing_Breakdown__videoplayback (1)_clip_006.csv,Spacing Breakdown
3,582.7,0,,0,,0,,109.6,,,3,Spacing_Breakdown__videoplayback (1)_clip_019.csv,Spacing Breakdown
2,547.8,1,417.6,0,,0,,121.5,,83.9,3,Spacing_Breakdown__videoplayback (1)_clip_022.csv,Spacing Breakdown
3,664.4,0,,0,,0,,150.6,,,3,Spacing_Breakdown__videoplayback (1)_clip_024.csv,Spacing Breakdown
3,316.7,0,,0,,0,,144.5,,,3,Spacing_Breakdown__videoplayback (1)_clip_027.csv,Spacing Breakdown
3,427.6,0,,0,,0,,159.1,,,3,Spacing_Breakdown__videoplayback (1)_clip_028.csv,Spacing Breakdown
2,458.1,1,116.4,0,,0,,334.7,,66.6,3,Spacing_Breakdown__videoplayback (1)_clip_032.csv,Spacing Breakdown
2,258.4,0,,0,,0,,81.1,,,4,Spacing_Breakdown__videoplayback (1)_clip_036.csv,Spacing Breakdown
2,631.0,1,271.9,0,,0,,248.1,,140.0,3,Spacing_Breakdown__videoplayback (1)_clip_040.csv,Spacing Breakdown
3,600.2,0,,0,,0,,85.5,,,3,Spacing_Breakdown__videoplayback (1)_clip_042.csv,Spacing Breakdown
1,472.4,0,,0,,1,283.7,213.1,,,4,Spacing_Breakdown__videoplayback (1)_clip_055.csv,Spacing Breakdown
1,474.9,1,117.4,0,,0,,160.5,,45.1,4,Spacing_Breakdown__videoplayback (1)_clip_057.csv,Spacing Breakdown
2,582.7,0,,0,,0,,137.9,,,4,Spacing_Breakdown__videoplayback (1)_clip_059.csv,Spacing Breakdown
3,535.9,0,,0,,0,,260.2,,,3,Spacing_Breakdown__videoplayback (1)_clip_060.csv,Spacing Breakdown
1,504.1,1,390.7,0,,0,,282.5,,83.7,4,Spacing_Breakdown__videoplayback (1)_clip_062.csv,Spacing Breakdown
1,533.6,0,,0,,0,,187.2,,,5,Spacing_Breakdown__videoplayback (1)_clip_066.csv,Spacing Breakdown
2,586.2,0,,0,,0,,105.9,,,4,Spacing_Breakdown__videoplayback (1)_clip_071.csv,Spacing Breakdown
1,662.8,1,696.0,0,,1,658.0,256.0,,174.1,3,Spacing_Breakdown__videoplayback (1)_clip_085.csv,Spacing Breakdown
3,404.6,0,,0,,0,,124.6,,,3,Spacing_Breakdown__videoplayback (1)_clip_087.csv,Spacing Breakdown
2,658.2,0,,0,,0,,148.4,,,4,Spacing_Breakdown__videoplayback (1)_clip_088.csv,Spacing Breakdown
3,465.1,0,,0,,0,,239.3,,,3,Spacing_Breakdown__videoplayback (1)_clip_089.csv,Spacing Breakdown
2,470.6,1,168.8,0,,0,,137.4,,65.4,3,Spacing_Breakdown__videoplayback (1)_clip_092.csv,Spacing Breakdown
2,407.1,0,,0,,1,141.7,110.9,,,3,Spacing_Breakdown__videoplayback (1)_clip_094.csv,Spacing Breakdown
1,506.6,1,520.5,0,,0,,234.5,,154.2,4,Spacing_Breakdown__videoplayback (1)_clip_095.csv,Spacing Breakdown
3,757.4,0,,0,,0,,101.0,,,3,Spacing_Breakdown__videoplayback (1)_clip_096.csv,Spacing Breakdown
1,710.9,1,224.9,0,,0,,181.7,,99.3,4,Spacing_Breakdown__videoplayback (1)_clip_099.csv,Spacing Breakdown
3,445.8,0,,0,,1,278.7,361.9,,,2,Spacing_Breakdown__videoplayback (1)_clip_100.csv,Spacing Breakdown
3,647.9,0,,0,,0,,91.4,,,3,Spacing_Breakdown__videoplayback (1)_clip_101.csv,Spacing Breakdown
1,274.0,1,164.9,1,630.3,0,,216.5,608.8,63.3,3,Spacing_Breakdown__videoplayback (1)_clip_103.csv,Spacing Breakdown
2,362.9,0,,0,,0,,230.4,,,4,Spacing_Breakdown__videoplayback (1)_clip_105.csv,Spacing Breakdown
2,567.1,1,118.8,0,,0,,222.2,,46.1,3,Spacing_Breakdown__videoplayback (1)_clip_106.csv,Spacing Breakdown
2,741.2,0,,0,,1,716.5,120.3,,,3,Spacing_Breakdown__videoplayback (1)_clip_107.csv,Spacing Breakdown
2,686.1,1,184.7,0,,0,,118.5,,69.1,3,Spacing_Breakdown__videoplayback (1)_clip_108.csv,Spacing Breakdown
2,460.7,1,273.2,0,,0,,242.5,,115.1,3,Spacing_Breakdown__videoplayback (1)_clip_114.csv,Spacing Breakdown
2,721.5,1,400.1,0,,0,,390.7,,158.1,3,Spacing_Breakdown__videoplayback (1)_clip_115.csv,Spacing Breakdown
3,520.5,0,,0,,0,,121.0,,,3,Spacing_Breakdown__videoplayback (1)_clip_118.csv,Spacing Breakdown
3,656.9,0,,1,627.0,0,,196.8,600.1,,2,Spacing_Breakdown__videoplayback (1)_clip_120.csv,Spacing Breakdown
1,535.2,1,178.7,0,,0,,362.8,,52.4,4,Spacing_Breakdown__videoplayback (1)_clip_126.csv,Spacing Breakdown
2,643.5,1,96.8,0,,2,255.5,196.0,,32.5,1,Spacing_Breakdown__videoplayback (3)_clip_095.csv,Spacing Breakdown
2,508.9,1,28.8,0,,0,,231.2,,11.5,3,Spacing_Breakdown__videoplayback (4)_clip_113.csv,Spacing Breakdown
4,645.2,1,38.3,0,,1,65.7,79.1,,14.8,0,Spacing_Breakdown__videoplayback (4)_clip_119.csv,Spacing Breakdown
4,448.1,1,122.8,0,,1,11.2,122.0,,23.9,0,Spacing_Breakdown__videoplayback (4)_clip_134.csv,Spacing Breakdown
3,480.8,0,,0,,1,168.1,214.5,,,2,Spacing_Breakdown__videoplayback (4)_clip_153.csv,Spacing Breakdown
3,402.6,0,,0,,1,14.2,67.1,,,2,Spacing_Breakdown__videoplayback (4)_clip_156.csv,Spacing Breakdown
